epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
43,36446.6,1.23065,1.32221,1.42745,0.73387,0.59916,0.68471,0.45476,1.2292,1.15854,1.45006,0.005842,0.005842,0.005842
44,36751.5,1.25214,1.35025,1.43796,0.65669,0.6396,0.67546,0.46148,1.22906,1.19615,1.44956,0.005743,0.005743,0.005743
45,37054.4,1.21184,1.28454,1.41088,0.74688,0.63625,0.69513,0.46983,1.22422,1.09464,1.46006,0.005644,0.005644,0.005644
46,37357.4,1.2058,1.26051,1.41131,0.73723,0.62735,0.70286,0.47314,1.19948,1.09533,1.43488,0.005545,0.005545,0.005545
47,37661,1.21719,1.28148,1.41349,0.67188,0.6617,0.71181,0.47844,1.22878,1.11482,1.43812,0.005446,0.005446,0.005446
48,37964.6,1.19405,1.21261,1.38651,0.64468,0.65763,0.69935,0.46744,1.23272,1.17592,1.43937,0.005347,0.005347,0.005347
49,38269.7,1.19753,1.22972,1.39223,0.77768,0.61662,0.71339,0.4764,1.21975,1.10862,1.4347,0.005248,0.005248,0.005248
50,38573.4,1.18706,1.22917,1.38907,0.68615,0.66472,0.71447,0.47576,1.1952,1.07029,1.40365,0.005149,0.005149,0.005149
51,38879.8,1.17228,1.20616,1.37599,0.6813,0.68658,0.70622,0.47649,1.18271,1.09657,1.4128,0.00505,0.00505,0.00505
52,39187.4,1.17891,1.22531,1.38724,0.70549,0.64104,0.70192,0.47224,1.22852,1.15855,1.44418,0.004951,0.004951,0.004951
53,39493.7,1.1476,1.1631,1.36055,0.71049,0.65444,0.7175,0.48747,1.17965,1.08686,1.38731,0.004852,0.004852,0.004852
54,39798.5,1.13138,1.1588,1.3499,0.69331,0.69332,0.73833,0.5025,1.16441,1.04563,1.38404,0.004753,0.004753,0.004753
55,40104.5,1.13519,1.18539,1.34864,0.73141,0.66879,0.72511,0.48617,1.16895,1.05913,1.39343,0.004654,0.004654,0.004654
56,40411.3,1.11752,1.14774,1.33872,0.75786,0.6692,0.73802,0.50302,1.14142,1.02707,1.37197,0.004555,0.004555,0.004555
57,40718.1,1.11894,1.12241,1.33863,0.723,0.67776,0.74421,0.51684,1.14482,1.00894,1.36042,0.004456,0.004456,0.004456
